stream,study_hours,attendance,sleep_hours,internet_usage,mathematics,physics,chemistry,biology,computer_science,english,previous_score,exam_score,strongest_subject,recommended_career,performance_level,attendance_status
Biology,6.8,85,7.6,3.0,74,78,77,79,0,78,77.2,85.59,Biology,Biotechnologist,Excellent,Eligible
Biology,3.5,65,6.2,5.1,53,64,74,57,0,63,62.2,56.9,Chemistry,Forensic Scientist,Average,Shortage
Biology,5.9,77,6.6,3.2,75,71,89,80,0,73,77.6,80.28,Chemistry,Pharmacist,Good,Eligible
Biology,3.8,82,6.6,4.2,57,64,65,63,0,78,65.4,61.53,English,Journalist,Average,Eligible
Biology,3.1,75,7.0,4.0,51,68,60,53,0,50,56.4,56.46,Physics,Research Scientist,Average,Eligible
Biology,4.9,78,6.4,5.3,69,70,66,63,0,68,67.2,68.34,Physics,Mechanical Engineer,Average,Eligible
Computer Science,2.2,59,5.8,6.7,59,40,48,0,41,64,50.4,41.98,English,Teacher,Needs Improvement,Shortage
Computer Science,7.0,79,7.0,2.1,80,77,75,0,79,83,78.8,81.57,English,Content Writer,Good,Eligible
Biology,0.8,20,3.9,7.1,17,41,39,34,0,30,32.2,14.94,Physics,Aerospace Engineer,Needs Improvement,Shortage
Biology,8.4,100,7.4,1.4,88,94,99,99,0,82,92.4,100.0,Chemistry,Forensic Scientist,Excellent,Eligible
Biology,4.0,76,7.0,3.7,52,75,72,59,0,74,66.4,70.54,Physics,Electrical Engineer,Good,Eligible
Biology,1.8,45,5.9,6.3,56,37,48,52,0,44,47.4,34.77,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,6.5,76,7.5,2.2,85,84,80,0,78,83,82.0,88.38,Mathematics,Data Scientist,Excellent,Eligible
Biology,3.5,49,6.3,7.6,53,33,41,31,0,41,39.8,30.8,Mathematics,Data Scientist,Needs Improvement,Shortage
Biology,5.6,89,6.8,2.6,87,71,78,84,0,75,79.0,83.25,Mathematics,Actuary,Good,Eligible
Computer Science,2.9,63,5.0,6.8,33,34,41,0,38,40,37.2,29.62,Chemistry,Pharmacist,Needs Improvement,Shortage
Computer Science,4.7,73,6.4,5.1,68,56,55,0,52,58,57.8,53.93,Mathematics,Financial Analyst,Average,Shortage
Biology,8.1,100,8.4,2.3,93,98,93,93,0,95,94.4,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,5.0,90,7.7,3.2,82,87,79,0,77,73,79.6,88.07,Physics,Aerospace Engineer,Excellent,Eligible
Biology,6.8,76,7.1,2.6,81,82,87,82,0,65,79.4,84.53,Chemistry,Pharmacist,Good,Eligible
Biology,4.1,76,6.7,3.7,68,72,52,55,0,70,63.4,64.87,Physics,Mechanical Engineer,Average,Eligible
Biology,4.2,71,5.6,3.0,61,54,63,64,0,63,61.0,57.46,Biology,Doctor,Average,Shortage
Biology,5.5,83,7.4,3.4,72,72,80,86,0,66,75.2,78.32,Biology,Biomedical Researcher,Good,Eligible
Computer Science,5.6,83,6.8,3.8,79,86,88,0,71,87,82.2,85.05,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,3.8,67,6.4,3.1,72,71,55,0,61,77,67.2,61.94,English,Teacher,Average,Shortage
Computer Science,9.3,94,7.2,0.9,98,97,96,0,100,86,95.4,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Biology,7.9,94,7.5,0.6,100,86,99,92,0,82,91.8,99.0,Mathematics,Statistician,Excellent,Eligible
Biology,6.6,76,7.2,3.4,78,85,70,76,0,79,77.6,83.08,Physics,Electrical Engineer,Good,Eligible
Biology,4.0,71,6.2,3.8,73,74,49,74,0,60,66.0,63.88,Physics,Aerospace Engineer,Average,Shortage
Computer Science,3.5,72,7.4,5.0,74,65,75,0,65,55,66.8,63.82,Chemistry,Pharmacist,Average,Shortage
Biology,6.5,83,6.9,3.7,86,85,83,88,0,79,84.2,87.98,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,3.9,81,5.7,3.6,56,64,54,0,71,69,62.8,62.26,Computer Science,Machine Learning Engineer,Average,Eligible
Biology,2.7,59,6.3,5.6,32,34,52,31,0,37,37.2,25.35,Chemistry,Pharmacist,Needs Improvement,Shortage
Biology,1.4,35,3.6,8.1,21,42,45,21,0,49,35.6,19.37,English,Content Writer,Needs Improvement,Shortage
Computer Science,6.4,76,6.7,3.4,78,75,75,0,84,80,78.4,83.06,Computer Science,Software Engineer,Good,Eligible
Biology,1.3,41,4.2,9.1,39,37,44,16,0,45,36.2,15.7,English,Lawyer,Needs Improvement,Shortage
Biology,3.8,65,7.4,4.9,68,73,66,56,0,67,66.0,60.64,Physics,Research Scientist,Average,Shortage
Biology,5.8,76,6.7,2.2,90,85,68,74,0,71,77.6,78.66,Mathematics,Data Scientist,Good,Eligible
Biology,5.3,79,6.6,2.9,90,77,68,72,0,69,75.2,75.43,Mathematics,Data Scientist,Good,Eligible
Biology,9.8,98,7.4,2.5,89,100,85,98,0,89,92.2,100.0,Physics,Research Scientist,Excellent,Eligible
Biology,3.6,78,6.2,5.6,50,62,48,57,0,71,57.6,53.91,English,Lawyer,Average,Eligible
Biology,3.3,61,6.3,4.6,61,65,53,52,0,52,56.6,52.44,Physics,Aerospace Engineer,Average,Shortage
Computer Science,3.8,80,5.9,5.5,59,69,66,0,63,77,66.8,67.55,English,Lawyer,Average,Eligible
Biology,4.4,75,6.1,5.5,62,74,53,62,0,55,61.2,63.0,Physics,Research Scientist,Average,Eligible
Computer Science,0.9,32,5.2,8.9,27,18,37,0,30,21,26.6,13.07,Chemistry,Materials Scientist,Needs Improvement,Shortage
Biology,6.5,87,7.3,3.1,76,78,81,78,0,67,76.0,86.94,Chemistry,Pharmacist,Excellent,Eligible
Computer Science,7.7,95,8.1,1.2,90,93,93,0,95,87,91.6,100.0,Computer Science,Machine Learning Engineer,Excellent,Eligible
Computer Science,1.7,32,5.0,8.7,43,37,44,0,18,46,37.6,22.17,English,Teacher,Needs Improvement,Shortage
Biology,1.8,44,5.2,7.1,46,36,53,30,0,54,43.8,32.74,English,Content Writer,Needs Improvement,Shortage
Computer Science,2.3,45,5.4,7.3,33,56,33,0,60,35,43.4,32.51,Computer Science,Software Engineer,Needs Improvement,Shortage
Computer Science,2.7,61,5.7,6.4,59,48,51,0,52,63,54.6,50.17,English,Content Writer,Average,Shortage
Computer Science,6.3,85,7.7,2.0,77,81,68,0,86,73,77.0,88.42,Computer Science,Software Engineer,Excellent,Eligible
Biology,8.8,97,8.0,1.3,91,92,82,92,0,85,88.4,100.0,Physics,Research Scientist,Excellent,Eligible
Computer Science,1.6,30,4.4,9.2,30,26,30,0,30,29,29.0,11.35,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,7.7,92,8.1,0.8,90,99,82,0,92,91,90.8,100.0,Physics,Electrical Engineer,Excellent,Eligible
Computer Science,4.6,76,6.7,3.6,55,58,68,0,56,68,61.0,63.91,Chemistry,Forensic Scientist,Average,Eligible
Computer Science,1.9,58,5.5,7.0,48,34,36,0,61,55,46.8,33.83,Computer Science,Cybersecurity Analyst,Needs Improvement,Shortage
Computer Science,5.4,89,6.5,2.2,76,86,86,0,79,70,79.4,82.18,Physics,Aerospace Engineer,Good,Eligible
Biology,9.6,97,7.2,2.0,95,97,94,99,0,86,94.2,100.0,Biology,Biomedical Researcher,Excellent,Eligible
Biology,1.6,56,6.1,6.3,58,33,53,57,0,65,53.2,41.66,English,Content Writer,Needs Improvement,Shortage
Biology,3.7,65,5.7,6.0,61,73,63,59,0,78,66.8,62.75,English,Journalist,Average,Shortage
Biology,5.0,63,7.3,3.5,68,64,56,73,0,64,65.0,63.71,Biology,Microbiologist,Average,Shortage
Computer Science,6.8,75,6.7,2.3,89,71,83,0,80,65,77.6,82.66,Mathematics,Financial Analyst,Good,Eligible
Computer Science,3.1,68,6.8,4.1,65,73,67,0,68,57,66.0,59.83,Physics,Research Scientist,Average,Shortage
Computer Science,0.8,22,5.0,8.8,39,34,41,0,30,35,35.8,19.56,Chemistry,Materials Scientist,Needs Improvement,Shortage
Computer Science,3.0,57,4.9,7.7,35,50,31,0,44,43,40.6,26.87,Physics,Mechanical Engineer,Needs Improvement,Shortage
Computer Science,7.1,96,8.0,1.7,95,92,85,0,89,90,90.2,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Biology,7.8,92,7.5,2.1,91,100,89,86,0,86,90.4,99.81,Physics,Aerospace Engineer,Excellent,Eligible
Biology,3.9,80,6.8,3.8,56,53,73,71,0,54,61.4,61.42,Chemistry,Materials Scientist,Average,Eligible
Computer Science,4.7,63,6.3,5.6,58,53,71,0,76,75,66.6,60.95,Computer Science,Software Engineer,Average,Shortage
Biology,1.5,54,4.9,6.1,57,35,56,46,0,50,48.8,31.89,Mathematics,Actuary,Needs Improvement,Shortage
Biology,2.2,45,5.4,5.9,32,43,53,51,0,60,47.8,39.05,English,Journalist,Needs Improvement,Shortage
Computer Science,8.6,92,7.8,1.5,95,85,95,0,85,92,90.4,100.0,Mathematics,Actuary,Excellent,Eligible
Biology,7.0,88,7.9,3.1,81,73,89,75,0,77,79.0,87.37,Chemistry,Pharmacist,Excellent,Eligible
Biology,5.6,84,6.9,2.2,90,84,83,75,0,72,80.8,80.66,Mathematics,Actuary,Good,Eligible
Computer Science,4.2,67,6.2,4.2,75,51,55,0,59,67,61.4,58.21,Mathematics,Financial Analyst,Average,Shortage
Computer Science,9.2,88,7.5,0.7,92,85,98,0,90,82,89.4,99.46,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,4.2,61,6.6,5.7,62,52,67,55,0,57,58.6,55.39,Chemistry,Pharmacist,Average,Shortage
Computer Science,3.1,45,5.3,7.3,31,53,51,0,40,60,47.0,36.64,English,Journalist,Needs Improvement,Shortage
Biology,6.6,83,7.0,3.1,72,72,90,70,0,81,77.0,85.14,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,5.8,90,7.5,2.1,78,74,77,0,84,78,78.2,82.09,Computer Science,Software Engineer,Good,Eligible
Biology,8.2,97,8.5,1.2,97,87,88,96,0,84,90.4,99.86,Mathematics,Financial Analyst,Excellent,Eligible
Biology,4.9,60,6.7,3.6,55,60,61,65,0,77,63.6,60.09,English,Lawyer,Average,Shortage
Biology,2.3,46,5.5,5.1,46,35,57,33,0,55,45.2,37.28,Chemistry,Materials Scientist,Needs Improvement,Shortage
Computer Science,3.6,82,5.9,3.5,53,51,62,0,65,76,61.4,61.47,English,Content Writer,Average,Eligible
Biology,6.5,82,6.9,2.4,71,81,68,84,0,79,76.6,83.91,Biology,Biomedical Researcher,Good,Eligible
Biology,5.5,81,6.7,3.6,74,79,89,86,0,84,82.4,82.55,Chemistry,Forensic Scientist,Good,Eligible
Computer Science,5.4,87,7.0,3.1,74,75,90,0,74,67,76.0,80.94,Chemistry,Chemical Engineer,Good,Eligible
Biology,4.4,61,6.8,4.2,66,74,53,62,0,76,66.2,62.44,English,Teacher,Average,Shortage
Computer Science,8.9,100,7.3,0.9,89,86,89,0,95,85,88.8,100.0,Computer Science,Software Engineer,Excellent,Eligible
Biology,3.6,73,7.1,3.7,50,50,74,70,0,65,61.8,57.02,Chemistry,Pharmacist,Average,Shortage
Computer Science,5.4,81,7.9,3.6,90,77,71,0,92,75,81.0,85.65,Computer Science,Software Engineer,Excellent,Eligible
Computer Science,5.3,86,6.6,3.4,89,82,84,0,85,72,82.4,86.13,Mathematics,Data Scientist,Excellent,Eligible
Biology,3.1,44,4.5,5.2,36,59,47,30,0,55,45.4,33.71,Physics,Aerospace Engineer,Needs Improvement,Shortage
Biology,1.4,39,4.5,8.1,23,32,16,19,0,34,24.8,5.53,English,Lawyer,Needs Improvement,Shortage
Computer Science,6.8,87,7.4,2.9,70,88,75,0,84,85,80.4,87.6,Physics,Mechanical Engineer,Excellent,Eligible
Biology,3.2,78,6.4,5.5,53,63,48,69,0,71,60.8,58.01,English,Lawyer,Average,Eligible
Biology,3.2,76,6.4,3.2,60,63,56,69,0,50,59.6,58.15,Biology,Microbiologist,Average,Eligible
Biology,7.2,92,8.1,2.1,99,88,89,89,0,88,90.6,97.99,Mathematics,Statistician,Excellent,Eligible
Computer Science,5.8,79,7.8,3.5,89,86,83,0,78,78,82.8,86.21,Mathematics,Actuary,Excellent,Eligible
Computer Science,1.4,24,5.5,7.2,43,18,34,0,35,34,32.8,18.18,Mathematics,Financial Analyst,Needs Improvement,Shortage
Biology,5.1,75,6.5,3.7,75,72,86,79,0,80,78.4,78.12,Chemistry,Materials Scientist,Good,Eligible
Computer Science,4.7,80,6.5,3.8,57,70,71,0,69,58,65.0,68.38,Chemistry,Chemical Engineer,Average,Eligible
Biology,4.1,82,7.3,3.3,54,58,54,68,0,73,61.4,61.03,English,Teacher,Average,Eligible
Computer Science,5.1,83,7.3,2.8,72,73,68,0,84,68,73.0,76.03,Computer Science,Machine Learning Engineer,Good,Eligible
Biology,6.1,79,7.1,2.7,85,81,76,82,0,74,79.6,84.9,Mathematics,Data Scientist,Good,Eligible
Computer Science,3.1,69,7.3,3.1,64,53,71,0,52,80,64.0,59.07,English,Lawyer,Average,Shortage
Biology,4.9,66,6.0,4.7,59,71,67,56,0,75,65.6,63.27,English,Content Writer,Average,Shortage
Computer Science,6.7,90,7.1,3.2,85,75,86,0,82,81,81.8,92.53,Chemistry,Forensic Scientist,Excellent,Eligible
Computer Science,3.7,69,5.9,4.4,57,53,73,0,78,73,66.8,61.6,Computer Science,AI Engineer,Average,Shortage
Computer Science,8.9,91,8.4,0.9,85,92,83,0,92,85,87.4,95.38,Physics,Aerospace Engineer,Excellent,Eligible
Biology,2.6,41,4.9,6.6,46,48,50,53,0,59,51.2,39.94,English,Lawyer,Needs Improvement,Shortage
Computer Science,4.7,68,5.9,5.4,56,52,58,0,50,51,53.4,51.13,Chemistry,Materials Scientist,Average,Shortage
Biology,9.3,97,8.3,2.3,98,100,95,96,0,84,94.6,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,4.3,78,6.2,4.6,61,57,48,0,63,80,61.8,66.13,English,Journalist,Average,Eligible
Computer Science,6.9,80,7.7,3.4,90,70,75,0,71,87,78.6,83.79,Mathematics,Statistician,Good,Eligible
Computer Science,5.1,87,7.4,3.5,80,82,75,0,78,84,79.8,84.96,English,Lawyer,Good,Eligible
Biology,2.6,51,5.2,6.7,54,39,41,53,0,49,47.2,39.31,Mathematics,Financial Analyst,Needs Improvement,Shortage
Biology,6.4,79,6.8,3.0,83,80,88,71,0,77,79.8,82.7,Chemistry,Forensic Scientist,Good,Eligible
Computer Science,7.3,97,7.8,0.7,96,95,90,0,92,84,91.4,99.14,Mathematics,Statistician,Excellent,Eligible
Computer Science,1.8,38,5.3,9.7,31,30,18,0,33,39,30.2,13.66,English,Journalist,Needs Improvement,Shortage
Biology,6.7,75,6.9,3.2,79,77,82,90,0,80,81.6,85.07,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,7.4,94,8.0,1.5,91,91,87,0,97,83,89.8,99.51,Computer Science,AI Engineer,Excellent,Eligible
Computer Science,3.5,72,7.0,4.4,57,50,55,0,73,59,58.8,54.43,Computer Science,AI Engineer,Average,Shortage
Biology,3.9,64,6.3,6.0,63,55,69,55,0,70,62.4,57.82,English,Journalist,Average,Shortage
Biology,2.1,63,5.4,7.5,38,53,43,50,0,54,47.6,40.6,English,Journalist,Needs Improvement,Shortage
Computer Science,8.8,94,7.2,1.0,90,89,82,0,87,86,86.8,98.79,Mathematics,Data Scientist,Excellent,Eligible
