study_hours,attendance,sleep_hours,internet_usage,number_of_subjects,average_subject_score,highest_subject_score,lowest_subject_score,score_consistency,previous_overall_score,exam_score,performance_level,attendance_status
5.0,76,7.6,2.6,3,78.67,83.0,72.0,4.78,85.7,86.23,Excellent,Eligible
5.7,76,6.9,3.0,5,79.6,91.0,72.0,7.0,79.19,82.91,Good,Eligible
4.7,81,5.8,3.7,5,59.2,69.0,52.0,6.24,69.01,65.82,Average,Eligible
8.4,91,8.3,2.2,3,93.0,95.0,92.0,1.41,99.95,100.0,Excellent,Eligible
4.9,78,6.8,5.3,6,65.33,73.0,51.0,8.26,71.24,68.04,Average,Eligible
4.1,62,6.9,4.5,8,65.75,76.0,54.0,7.51,71.57,64.8,Average,Shortage
5.8,86,7.2,3.9,4,82.5,89.0,73.0,5.89,85.3,88.78,Excellent,Eligible
9.6,95,7.3,0.7,3,92.0,99.0,87.0,5.1,84.24,100.0,Excellent,Eligible
4.3,64,6.1,3.1,8,66.62,77.0,52.0,9.49,61.27,62.72,Average,Shortage
9.6,90,7.8,1.4,6,91.0,98.0,85.0,5.51,91.63,99.56,Excellent,Eligible
5.8,81,7.9,3.4,7,84.0,92.0,75.0,6.85,85.25,85.66,Excellent,Eligible
7.1,89,8.2,1.4,8,92.25,100.0,85.0,5.21,100.0,100.0,Excellent,Eligible
3.2,78,6.0,6.0,8,63.62,77.0,52.0,10.4,67.16,62.64,Average,Eligible
9.4,89,7.8,1.6,3,94.0,100.0,90.0,4.32,97.31,100.0,Excellent,Eligible
2.3,69,4.8,5.7,3,50.0,64.0,42.0,9.93,56.66,42.61,Needs Improvement,Shortage
4.9,81,6.4,5.5,5,57.4,65.0,54.0,3.93,52.51,57.79,Average,Eligible
5.2,87,7.5,2.6,7,83.14,91.0,71.0,7.43,85.89,89.31,Excellent,Eligible
1.4,41,5.3,7.2,3,18.33,19.0,17.0,0.94,12.81,5.49,Needs Improvement,Shortage
5.2,80,7.7,2.7,6,84.5,92.0,78.0,5.91,82.74,86.19,Excellent,Eligible
3.6,75,6.1,4.6,8,61.0,72.0,52.0,6.14,62.49,58.59,Average,Eligible
6.1,76,7.9,2.3,6,81.17,89.0,74.0,5.27,82.08,86.96,Excellent,Eligible
3.1,48,4.6,6.3,3,55.67,60.0,47.0,6.13,62.81,43.74,Needs Improvement,Shortage
5.3,82,7.8,2.7,7,79.71,90.0,73.0,6.5,77.25,84.97,Good,Eligible
2.8,61,5.9,7.1,5,53.0,64.0,45.0,6.78,44.83,46.08,Needs Improvement,Shortage
7.3,97,7.8,1.5,4,92.25,96.0,87.0,3.27,100.0,100.0,Excellent,Eligible
9.9,96,8.3,2.2,4,89.5,96.0,85.0,4.03,84.07,95.14,Excellent,Eligible
4.3,77,6.9,5.8,7,61.43,72.0,53.0,6.61,52.54,58.83,Average,Eligible
9.9,93,7.1,0.9,4,94.0,100.0,87.0,4.74,84.6,100.0,Excellent,Eligible
5.0,88,6.5,2.9,3,77.0,80.0,74.0,2.45,67.77,76.79,Good,Eligible
5.6,85,7.2,2.5,6,75.67,88.0,70.0,6.26,80.4,80.49,Good,Eligible
5.5,89,6.9,3.1,6,84.17,89.0,77.0,5.18,80.91,86.62,Excellent,Eligible
8.7,95,8.1,2.3,5,89.8,99.0,85.0,4.96,98.51,100.0,Excellent,Eligible
4.3,71,6.1,5.3,8,59.88,71.0,51.0,5.86,68.11,59.9,Average,Shortage
0.6,42,5.2,7.6,6,29.5,42.0,16.0,9.32,35.11,18.45,Needs Improvement,Shortage
5.1,86,6.8,3.4,7,82.43,90.0,70.0,6.46,90.79,87.82,Excellent,Eligible
3.4,63,6.1,4.9,4,65.25,72.0,53.0,7.29,69.88,59.71,Average,Shortage
3.0,61,5.5,7.0,5,42.4,58.0,33.0,8.78,34.77,34.06,Needs Improvement,Shortage
1.8,28,4.6,8.4,4,37.25,45.0,30.0,6.02,43.96,21.19,Needs Improvement,Shortage
3.4,68,7.4,5.7,4,65.75,71.0,58.0,4.82,56.6,59.29,Average,Shortage
5.6,88,6.9,2.4,4,80.0,88.0,71.0,6.52,77.29,82.41,Good,Eligible
3.7,71,6.8,5.9,6,66.0,78.0,51.0,8.76,73.46,62.19,Average,Shortage
1.7,42,5.5,5.8,3,39.67,53.0,33.0,9.43,32.25,23.0,Needs Improvement,Shortage
2.8,68,4.9,5.3,3,45.67,58.0,38.0,8.81,40.36,35.44,Needs Improvement,Shortage
0.9,24,4.9,9.7,5,27.8,45.0,15.0,10.57,26.41,13.01,Needs Improvement,Shortage
6.7,83,7.9,2.5,8,81.25,92.0,71.0,7.29,77.25,82.49,Good,Eligible
4.9,81,6.2,5.0,4,68.0,75.0,63.0,4.85,66.1,69.87,Average,Eligible
3.6,62,5.8,3.2,3,63.67,75.0,58.0,8.01,56.32,53.39,Average,Shortage
1.8,58,5.4,6.9,6,53.83,64.0,35.0,12.98,46.72,35.62,Needs Improvement,Shortage
8.7,96,8.0,1.4,7,88.71,95.0,86.0,3.24,93.6,100.0,Excellent,Eligible
6.6,80,7.9,2.7,7,77.43,84.0,70.0,5.18,79.37,85.85,Excellent,Eligible
3.9,69,7.0,5.8,6,66.5,77.0,53.0,8.98,76.3,64.9,Average,Shortage
7.5,89,8.4,1.0,6,90.67,98.0,86.0,4.03,87.95,100.0,Excellent,Eligible
1.5,37,5.0,9.5,4,30.75,43.0,15.0,11.71,27.64,14.59,Needs Improvement,Shortage
7.9,96,7.9,2.4,8,94.38,100.0,88.0,3.67,97.46,100.0,Excellent,Eligible
5.6,79,7.5,2.6,6,75.67,80.0,71.0,3.5,76.47,80.13,Good,Eligible
6.8,81,7.9,2.7,6,83.33,92.0,74.0,6.62,84.72,89.98,Excellent,Eligible
2.5,59,5.2,6.6,6,47.67,58.0,35.0,7.02,54.5,42.35,Needs Improvement,Shortage
4.8,73,7.3,5.3,7,64.57,72.0,51.0,7.13,72.56,65.13,Average,Shortage
4.8,69,6.2,5.1,8,68.5,78.0,52.0,8.5,76.65,68.6,Average,Shortage
4.1,74,6.5,4.1,3,63.0,77.0,50.0,11.05,58.66,56.88,Average,Shortage
6.1,87,7.8,3.4,6,86.83,92.0,78.0,5.61,91.14,99.46,Excellent,Eligible
5.1,88,7.0,2.8,6,82.5,89.0,74.0,5.65,89.04,91.05,Excellent,Eligible
2.6,61,5.5,7.3,5,47.6,61.0,32.0,10.67,57.01,44.61,Needs Improvement,Shortage
4.4,63,6.3,4.1,5,53.4,62.0,50.0,4.45,57.31,50.67,Average,Shortage
3.8,60,7.4,5.2,8,59.0,74.0,50.0,8.62,49.02,51.53,Average,Shortage
5.2,78,7.2,2.8,8,81.0,87.0,70.0,6.08,85.15,86.82,Excellent,Eligible
6.0,83,7.9,2.3,3,86.0,91.0,81.0,4.08,76.98,86.76,Excellent,Eligible
3.0,64,5.0,5.9,6,48.67,58.0,32.0,8.83,53.9,44.96,Needs Improvement,Shortage
5.5,75,6.6,2.6,6,82.67,90.0,72.0,7.11,82.13,82.59,Good,Eligible
3.9,65,6.0,3.8,6,64.67,71.0,59.0,4.35,63.43,57.04,Average,Shortage
8.5,88,7.6,1.8,3,86.67,89.0,85.0,1.7,87.1,95.79,Excellent,Eligible
5.7,82,6.9,3.1,7,82.86,90.0,74.0,6.2,86.38,85.9,Excellent,Eligible
4.0,60,7.2,3.3,8,61.62,69.0,56.0,4.33,61.72,61.39,Average,Shortage
3.0,65,7.2,3.6,5,66.4,73.0,60.0,5.54,76.08,66.34,Average,Shortage
7.3,88,7.1,0.6,7,95.57,100.0,90.0,3.25,90.22,100.0,Excellent,Eligible
5.2,76,6.6,2.1,3,82.0,89.0,71.0,7.87,83.77,82.01,Good,Eligible
1.8,64,5.8,7.7,8,49.88,63.0,34.0,11.15,54.66,41.86,Needs Improvement,Shortage
7.0,99,7.2,0.6,5,90.2,97.0,85.0,5.19,89.25,100.0,Excellent,Eligible
8.7,94,7.4,2.0,7,94.29,100.0,85.0,5.8,88.77,100.0,Excellent,Eligible
4.7,70,6.8,4.7,3,67.67,72.0,63.0,3.68,64.26,61.63,Average,Shortage
1.7,53,6.0,7.0,5,52.6,62.0,47.0,5.24,46.76,36.12,Needs Improvement,Shortage
6.4,75,6.8,3.3,8,79.88,89.0,70.0,6.81,80.6,86.85,Excellent,Eligible
7.7,91,7.3,1.9,3,92.0,97.0,86.0,4.55,95.51,100.0,Excellent,Eligible
3.0,64,6.5,4.5,3,69.67,77.0,57.0,8.99,68.63,61.48,Average,Shortage
3.9,62,5.9,3.4,6,69.0,76.0,57.0,6.53,73.86,66.33,Average,Shortage
3.1,78,6.9,4.2,6,65.0,76.0,53.0,8.58,60.75,61.74,Average,Eligible
1.5,58,4.9,6.9,5,49.4,60.0,36.0,8.57,53.45,35.69,Needs Improvement,Shortage
3.2,57,5.5,7.1,4,43.5,53.0,35.0,6.73,46.51,34.81,Needs Improvement,Shortage
5.3,81,7.3,2.2,6,83.67,92.0,79.0,4.53,77.56,84.19,Good,Eligible
5.5,86,6.8,2.8,3,87.0,92.0,81.0,4.55,80.19,92.06,Excellent,Eligible
1.6,56,6.2,5.3,6,47.83,57.0,37.0,6.96,40.02,33.72,Needs Improvement,Shortage
5.7,79,7.9,3.4,4,76.75,90.0,71.0,7.82,68.42,76.08,Good,Eligible
2.0,33,3.9,8.6,4,33.0,41.0,23.0,8.12,34.98,14.23,Needs Improvement,Shortage
1.2,21,4.3,9.8,6,33.67,43.0,22.0,7.56,26.6,11.96,Needs Improvement,Shortage
2.2,51,6.3,8.0,4,50.25,59.0,44.0,6.14,53.6,34.81,Needs Improvement,Shortage
4.4,71,5.9,5.3,6,70.17,78.0,59.0,7.2,68.48,67.75,Average,Shortage
3.9,68,7.4,3.8,4,58.75,76.0,51.0,10.06,67.18,58.58,Average,Shortage
4.1,72,6.3,4.4,8,68.62,78.0,55.0,8.96,67.71,66.4,Average,Shortage
2.6,62,5.7,7.0,5,46.4,57.0,40.0,6.28,54.46,44.62,Needs Improvement,Shortage
4.1,62,7.0,5.8,3,68.33,70.0,67.0,1.25,66.29,66.3,Average,Shortage
3.9,79,5.6,3.3,6,56.17,68.0,50.0,6.54,46.79,52.48,Average,Eligible
7.1,99,7.3,1.7,7,94.0,99.0,89.0,3.74,87.53,100.0,Excellent,Eligible
4.5,68,6.0,3.7,7,63.0,78.0,51.0,8.26,53.43,57.72,Average,Shortage
7.5,89,7.8,2.3,6,92.5,100.0,85.0,5.56,94.65,100.0,Excellent,Eligible
9.3,90,7.6,1.2,5,94.6,97.0,89.0,2.94,97.78,100.0,Excellent,Eligible
3.3,79,6.4,5.1,5,60.6,65.0,54.0,3.83,55.58,56.55,Average,Eligible
6.0,75,7.0,3.0,4,86.5,92.0,78.0,5.22,79.15,92.72,Excellent,Eligible
5.4,86,7.4,2.4,7,80.43,91.0,70.0,8.09,87.71,85.55,Excellent,Eligible
2.7,57,5.4,5.3,4,45.75,59.0,33.0,9.98,50.08,33.98,Needs Improvement,Shortage
5.9,84,6.8,3.6,5,76.8,84.0,70.0,4.62,80.44,78.47,Good,Eligible
5.9,89,6.6,2.3,3,80.67,87.0,72.0,6.34,84.11,85.35,Excellent,Eligible
7.5,99,8.4,1.0,7,92.43,98.0,89.0,3.37,85.53,100.0,Excellent,Eligible
3.9,74,6.8,5.6,5,61.0,72.0,53.0,6.36,63.78,57.13,Average,Shortage
6.6,78,8.0,3.9,4,79.75,86.0,71.0,5.49,74.91,82.89,Good,Eligible
4.3,65,6.5,3.1,8,68.88,77.0,55.0,7.24,60.34,63.75,Average,Shortage
8.3,91,8.2,2.5,6,95.33,99.0,93.0,1.97,95.66,100.0,Excellent,Eligible
3.3,82,6.3,5.1,4,69.0,78.0,59.0,6.75,65.02,67.94,Average,Eligible
5.1,90,7.7,3.5,3,80.67,89.0,75.0,6.02,76.19,85.53,Excellent,Eligible
7.9,98,8.0,1.0,4,97.5,100.0,95.0,1.8,99.64,100.0,Excellent,Eligible
1.8,32,3.8,9.1,8,32.75,42.0,17.0,8.03,41.98,20.29,Needs Improvement,Shortage
2.0,48,3.9,8.3,6,34.83,41.0,25.0,5.87,25.48,15.73,Needs Improvement,Shortage
5.2,81,6.8,2.7,3,85.0,91.0,78.0,5.35,85.62,89.4,Excellent,Eligible
3.5,68,7.4,4.4,7,60.86,71.0,52.0,6.53,66.59,58.32,Average,Shortage
3.0,73,6.9,5.3,3,69.33,75.0,65.0,4.19,68.98,61.92,Average,Shortage
6.2,78,7.9,4.0,3,86.0,92.0,76.0,7.12,87.95,93.08,Excellent,Eligible
3.5,63,7.1,4.2,4,67.0,72.0,62.0,4.12,60.05,63.37,Average,Shortage
2.3,55,5.5,7.0,7,53.29,65.0,31.0,11.22,45.4,40.49,Needs Improvement,Shortage
1.9,41,6.2,7.7,3,48.0,60.0,34.0,10.71,57.19,38.27,Needs Improvement,Shortage
8.0,90,7.4,0.7,7,91.57,99.0,86.0,4.5,95.99,100.0,Excellent,Eligible
2.1,45,5.1,7.3,8,53.12,64.0,39.0,7.91,52.48,43.88,Needs Improvement,Shortage
9.8,96,7.3,1.5,8,92.62,100.0,86.0,4.39,82.81,100.0,Excellent,Eligible
8.3,90,8.1,2.1,4,96.5,98.0,95.0,1.12,99.69,100.0,Excellent,Eligible
3.5,75,6.9,3.4,5,63.8,78.0,55.0,8.3,54.21,58.5,Average,Eligible
5.9,75,6.8,3.7,7,82.43,87.0,73.0,4.24,78.65,85.61,Excellent,Eligible
1.3,22,5.1,9.7,3,22.67,26.0,18.0,3.4,27.67,11.45,Needs Improvement,Shortage
2.5,61,5.4,5.3,8,44.62,65.0,33.0,9.39,51.48,43.63,Needs Improvement,Shortage
2.6,40,6.4,6.0,7,48.57,64.0,33.0,9.94,53.15,39.27,Needs Improvement,Shortage
3.3,66,6.1,3.7,6,65.83,76.0,58.0,5.84,75.17,62.09,Average,Shortage
4.8,78,5.7,5.7,3,69.0,73.0,65.0,3.27,70.3,70.41,Good,Eligible
5.2,78,7.1,2.7,4,77.0,86.0,72.0,5.39,77.72,79.85,Good,Eligible
6.7,76,7.5,3.8,6,78.83,88.0,72.0,5.67,75.18,82.68,Good,Eligible
6.2,76,7.3,3.3,6,84.83,92.0,70.0,7.54,93.55,94.42,Excellent,Eligible
3.1,80,7.1,3.8,5,59.4,71.0,52.0,7.31,50.69,58.2,Average,Eligible
4.3,71,5.6,5.0,8,68.12,77.0,52.0,8.27,72.17,66.43,Average,Shortage
6.3,78,7.9,3.5,4,73.0,76.0,71.0,1.87,68.12,74.92,Good,Eligible
2.6,50,6.4,6.1,6,46.33,61.0,36.0,9.45,50.9,36.82,Needs Improvement,Shortage
0.7,44,3.9,8.3,7,26.0,41.0,15.0,9.64,19.41,6.16,Needs Improvement,Shortage
3.3,70,6.3,7.9,7,53.14,63.0,38.0,8.76,62.81,49.15,Needs Improvement,Shortage
3.1,71,7.4,5.5,6,63.17,70.0,60.0,3.29,58.68,57.05,Average,Shortage
7.5,88,8.2,2.4,5,93.0,97.0,89.0,2.76,95.93,99.11,Excellent,Eligible
6.1,83,7.5,2.7,8,79.88,89.0,70.0,5.4,81.72,86.83,Excellent,Eligible
3.7,72,5.6,3.7,4,61.5,75.0,53.0,8.2,66.48,59.72,Average,Shortage
6.6,75,6.8,2.7,8,85.25,92.0,70.0,7.53,79.61,89.56,Excellent,Eligible
5.5,89,6.9,2.8,4,79.75,86.0,74.0,4.92,78.11,83.91,Good,Eligible
1.7,66,4.5,7.0,6,49.33,63.0,39.0,9.76,54.84,40.56,Needs Improvement,Shortage
3.9,60,6.5,5.7,8,68.25,77.0,57.0,6.94,67.46,64.09,Average,Shortage
